J,Kp,Kd
19600.0,0.14100000000000001,0.5599999999999999
19800.0,0.15139999999999998,0.5999999999999999
20000.0,0.14100000000000001,0.5599999999999999
20200.0,0.06820000000000001,0.28
20200.0,0.07339999999999999,0.3
20200.0,0.0786,0.32
20200.0,0.0838,0.33999999999999997
20200.0,0.089,0.36
20200.0,0.0942,0.38
20200.0,0.0994,0.39999999999999997
20200.0,0.10200000000000001,0.42
20200.0,0.1072,0.43999999999999995
20200.0,0.1124,0.45999999999999996
20200.0,0.1176,0.48
20200.0,0.1228,0.49999999999999994
20200.0,0.128,0.52
20200.0,0.13319999999999999,0.54
20200.0,0.1384,0.5599999999999999
20400.0,0.063,0.26
20400.0,0.06820000000000001,0.28
20400.0,0.07339999999999999,0.3
20400.0,0.0786,0.32
20400.0,0.1124,0.45999999999999996
20400.0,0.1176,0.48
20400.0,0.1228,0.49999999999999994
20400.0,0.128,0.52
20400.0,0.13319999999999999,0.54
20400.0,0.1384,0.5599999999999999
20400.0,0.14100000000000001,0.58
20400.0,0.1462,0.5999999999999999
20600.0,0.06820000000000001,0.28
20600.0,0.07339999999999999,0.3
20600.0,0.0786,0.32
20600.0,0.0838,0.33999999999999997
20600.0,0.089,0.36
20600.0,0.0942,0.38
20600.0,0.0968,0.39999999999999997
20600.0,0.10200000000000001,0.42
20600.0,0.1072,0.43999999999999995
20600.0,0.1124,0.45999999999999996
20600.0,0.1176,0.48
20600.0,0.1228,0.49999999999999994
20600.0,0.128,0.52
20600.0,0.13319999999999999,0.54
20600.0,0.1384,0.5599999999999999
20800.0,0.063,0.26
20800.0,0.06820000000000001,0.28
20800.0,0.07339999999999999,0.3
20800.0,0.0786,0.32
20800.0,0.1124,0.45999999999999996
20800.0,0.1176,0.48
20800.0,0.1228,0.49999999999999994
20800.0,0.128,0.52
20800.0,0.13319999999999999,0.54
20800.0,0.1384,0.5599999999999999
20800.0,0.14100000000000001,0.58
20800.0,0.1462,0.5999999999999999
21000.0,0.063,0.26
21000.0,0.0812,0.33999999999999997
21000.0,0.0864,0.36
21000.0,0.0916,0.38
21000.0,0.115,0.48
21000.0,0.1202,0.49999999999999994
21000.0,0.1254,0.52
21000.0,0.1306,0.54
21000.0,0.1358,0.5599999999999999
21000.0,0.1384,0.58
21000.0,0.1436,0.5999999999999999
21200.0,0.057800000000000004,0.24
